규정명,기관명,본문,제정일,최근 개정일,소관부서,첨부파일링크,첨부파일이름
제2025-4차 규제심의위원회 의사록,은행연합회,ㅇ안건 (심의안건) - 제1호 : ｢새희망홀씨 운용규약｣ 개정(안) ㅇ회의 주요내용 : 첨부 의사록 참조. 끝.,,,상생금융부,https://www.kfb.or.kr/include/download.php?enc_para=xvObvK0batuxwWn9qX/dETImOAoHkOwRfPcIcm33RiPQmvjHWJwfKHou0iOJVuOOYf5kDX44ig2fHZc=,제2025-4차 규제심의위원회 의사록 1부.pdf
제2025-4차 규제심의위원회 의사록,은행연합회,ㅇ안건 (심의안건) - 제1호 : ｢부동산 프로젝트 파이낸싱 리스크관리 지침｣ 개정(안) ㅇ회의 주요내용 : 첨부 의사록 참조. 끝.,,,상생금융부,https://www.kfb.or.kr/include/download.php?enc_para=xvKbvK0batuxwWn9qX/dEeRF2sJYM6UWfkd2HKZLUGG83mpauzUOkr8xttn*r/5H3LdtNfmxiz7eE/0=,제2025-4차 규제심의위원회 의사록 1부.pdf
제2025-3차 규제심의위원회 의사록,은행연합회,ㅇ안건 (심의안건) - 제1호 : ｢금융사고 예방지침｣ 개정(안) - 제2호 : ｢가상자산 실명계정 운영지침｣ 개정(안) (보고안건) - 제1호 : ｢은행권 자율규제 운영규정｣ 개정 결과 - 제2호 : 은행권 자율규제 정기점검 결과 ㅇ회의 주요내용 : 첨부 의사록 참조. 끝.,,,준법지원부,https://www.kfb.or.kr/include/download.php?enc_para=xv2bvK0batuxwWn9qX/dERcXOKq8SmkX6ttxHhfzA21U3v8rdeIimHssV9XMAwpTLGcE8BJ31inwBzs=,제2025-3차 규제심의위원회 의사록 1부.pdf
제2025-2차 규제심의위원회 의사록,은행연합회,ㅇ안건 (심의안건) - 제1호 : ｢부동산 프로젝트 파이낸싱 리스크관리 지침｣ 개정(안) ㅇ회의 주요내용 : 첨부 의사록 참조. 끝.,,,상생금융부,https://www.kfb.or.kr/include/download.php?enc_para=xvybvK0batuxwWn9qX/dETSlgnF5G6nQD6Rdp1o5nFIjOSZz1U6fyX0Sl5/WmorR8yyCmHLSD3pk4WE=,제2025-2차 규제심의위원회 의사록 1부.pdf
제2025-1차 규제심의위원회 의사록,은행연합회,ㅇ안건 (심의안건) - 제1호 : ｢개인사업자대출119 운영 모범규준｣ 전면개정(안) - 제2호 : ｢가계대출 프리워크아웃 활성화를 위한 모범규준｣ 개정(안) ㅇ회의 주요내용 : 첨부 의사록 참조. 끝.,,,상생금융부,https://www.kfb.or.kr/include/download.php?enc_para=xv*bvK0batuxwWn9qX/dEUA2J22N03CzX7TazE3zwpQgGgGxco*oGE1Ct4aouLBZwRtgELmcXftCc8M=,제2025-1차 규제심의위원회 의사록 1부.pdf
