번호,규정명,기관명,본문,제정일,최근 개정일,소관부서,파일 다운로드 링크,파일 이름
1,금융기관 전자방식 외상매출채권담보대출 취급절차,한국은행,,,2023-01-12,,https://www.bok.or.kr/portal/law/fileDown.do?gb_code=01&lawseq=100422&seq=104037&fileNm=금융기관 전자방식 외상매출채권담보대출 취급절차_20230112.pdf,금융기관 전자방식 외상매출채권담보대출 취급절차_20230112.pdf
2,금융기관 전자방식 외상매출채권담보대출 취급세칙,한국은행,,,2013-04-25,,https://www.bok.or.kr/portal/law/fileDown.do?gb_code=01&lawseq=100421&seq=104033&fileNm=금융기관 전자방식 외상매출채권담보대출 취급세칙_20130425.pdf,금융기관 전자방식 외상매출채권담보대출 취급세칙_20130425.pdf
